golden_label,lcsNorm,minimumED,containment_1,containment_3,sentence1_len,sentence2_len,sentence_len_diff,euclid_dist,cos_sim,word_common,word_total,word_share,sentence1_words,sentence2_words
0,0.1,0.553921568627451,0.15,0.0,116,88,28,5.477225575051661,0.2551551815399144,3.0,33.0,0.09090909090909091,23,16
0,1.0,0.7055393586005831,1.0,1.0,121,222,101,4.0,0.7815475308310033,21.0,58.0,0.3620689655172414,22,43
0,0.21739130434782608,0.6066176470588235,1.0,0.0,136,136,0,0.0,1.0000000000000002,22.0,44.0,0.5,26,26
0,1.0,0.6850152905198776,1.0,1.0,112,215,103,4.123105625617661,0.7443229275647868,21.0,59.0,0.3559322033898305,23,46
0,0.038461538461538464,0.41338582677165353,0.04,0.0,186,68,118,6.48074069840786,0.049813548138671795,2.0,40.0,0.05,28,15
1,0.8846153846153846,0.9807073954983923,0.88,0.8695652173913043,156,155,1,2.23606797749979,0.905821627315677,23.0,51.0,0.45098039215686275,30,27
0,0.11538461538461539,0.6090909090909091,1.0,0.0,165,165,0,0.0,0.9999999999999998,24.0,48.0,0.5,26,26
1,0.9523809523809523,0.9386973180076629,0.9523809523809523,0.8421052631578947,124,137,13,2.23606797749979,0.8987170342729172,21.0,46.0,0.45652173913043476,22,26
0,0.5,0.7197452229299363,0.6521739130434783,0.23809523809523808,149,165,16,4.358898943540674,0.7581425055034353,13.0,43.0,0.3023255813953488,25,29
0,0.2222222222222222,0.5609756097560976,0.5,0.0,54,69,15,3.1622776601683795,0.4472135954999579,6.0,22.0,0.2727272727272727,11,13
0,0.4,0.7752808988764045,0.42857142857142855,0.25,92,86,6,3.7416573867739413,0.4629100498862758,6.0,27.0,0.2222222222222222,15,12
0,0.03571428571428571,0.5503355704697986,0.0,0.0,180,118,62,7.14142842854285,0.0,2.0,48.0,0.041666666666666664,29,23
0,0.46153846153846156,0.6030534351145038,0.6153846153846154,0.2727272727272727,69,62,7,2.8284271247461903,0.6689936080056728,8.0,24.0,0.3333333333333333,13,11
0,1.0,0.6386554621848739,1.0,1.0,76,162,86,3.4641016151377544,0.721110255092798,13.0,41.0,0.3170731707317073,13,30
0,0.7058823529411765,0.5882352941176471,0.75,0.6428571428571429,95,109,14,3.605551275463989,0.6776718456854931,14.0,40.0,0.35,19,25
